de
que
a
e
o
não
harry
para
um
se
uma
com
os
em
do
ele
é
no
da
mas
você
na
disse
por
as
rony
estava
mais
hagrid
como
era
quando
muito
hermione
ao
à
eu
coisa
eles
está
foi
dos
sua
me
seu
ela
tinha
bem
snape
isso
dumbledore
das
ter
vai
vez
duda
cabeça
então
já
até
agora
vocês
olhos
nada
havia
só
parecia
alguma
todos
sem
perguntou
porta
ser
neville
tio
nem
lhe
válter
tão
quirrell
pelo
fazer
nunca
dizer
dois
porque
nos
potter
mesmo
dursley
depois
vamos
grifinória
pela
tem
lado
aqui
estavam
fora
grande
tinham
tempo
dele
casa
lá
quem
quase
seus
ou
enquanto
antes
tudo
onde
minerva
pedra
ah
profa
dia
hogwarts
outra
sabe
vou
draco
ver
sala
sr
volta
alto
noite
voz
respondeu
todo
melhor
deu
escola
viu
bom
ainda
chão
três
também
cima
pessoas
alguém
ficou
falou
vassoura
ia
mão
sobre
eram
sei
primeiro
estar
varinha
rosto
estou
ninguém
tia
frente
quadribol
sempre
ano
lugar
sonserina
acho
tentando
capa
ali
sabia
nas
cara
talvez
alunos
fez
prof
às
dentro
depressa
hora
petúnia
são
pode
espelho
estão
filch
gente
poderia
podia
cada
weasley
deles
isto
ficar
repente
outro
meio
rúbeo
saber
menino
ar
seguinte
falar
mesa
outros
mundo
senhor
tivesse
minha
aí
saiu
claro
pouco
madame
direção
suas
começou
quanto
aos
primeira
olhar
coisas
pontos
carta
menos
quero
nome
pai
realmente
duas
livros
finalmente
malfoy
certeza
assim
meu
toda
olhou
olívio
trás
qualquer
devia
mãe
vezes
dar
fazendo
verdade
corredor
gritou
vida
caminho
embora
trasgo
rua
chapéu
atrás
dragão
passar
teve
correndo
nós
será
percy
tentou
tenho
coruja
cabelos
vão
floresta
passou
fosse
boca
quer
sido
num
voldemort
aquela
encontrar
pessoa
bruxo
temos
conseguiu
professor
mãos
sair
bruxos
este
entre
ir
exclamou
queria
anos
manhã
fred
trem
aula
hoje
time
logo
instante
numa
cinco
contra
pirraça
demais
garoto
segundo
alguns
família
quatro
pensar
cama
sim
trouxas
deixou
cachorro
apenas
quê
minutos
jorge
caiu
posso
aquele
olhando
entrar
sou
sra
parede
há
magia
deve
andar
foram
bateu
teria
parou
uns
sentiu
nariz
algum
tenha
fofo
voltar
dez
razão
diante
jogo
seguida
tarde
acha
pés
fazia
essa
durante
olhe
mal
ouviu
ouvir
abriu
ouviram
aulas
achou
difícil
boa
perto
alta
murmurou
estivesse
sapo
virou
salão
flamel
tanto
velho
mulher
conseguia
parte
cartas
pelos
todas
novo
norberto
janela
fogo
contar
professora
sorte
continuava
gringotes
casas
dizendo
vira
desde
carro
entrou
pé
pelas
tirou
livro
lembrar
quarto
esperando
fim
biblioteca
gêmeos
natal
poder
caso
deixar
vestes
favor
aconteceu
nenhum
mesma
sangue
preciso
puxou
seria
gato
medo
pais
pareceu
pareciam
pudesse
baixo
maior
muita
vassouras
horas
castelo
corujas
pensou
seja
chegou
força
naquele
ficaram
teto
granger
pena
semana
cair
carlinhos
chegar
procurando
única
ideia
mim
plataforma
goyle
nenhuma
espero
silêncio
unicórnio
certo
levantou
levou
parecendo
qual
comprar
dela
passaram
contou
feitiço
jamais
homem
corpo
vendo
continuou
armário
pernas
cor
horrível
outras
costas
esse
cabeças
luz
cobra
perguntar
voltou
flitwick
estranho
estamos
enorme
garotos
pensando
ruído
olivaras
atenção
crabbe
chocolate
obrigado
apanhou
pomo
meia
modo
goles
dragões
falando
grandes
última
escuro
matar
podem
prata
têm
apareceu
bolso
comunal
saíram
ronan
hum
braço
sorriso
agarrou
nove
gigante
loja
braços
sozinho
último
caldeirão
tentar
poções
nervoso
simas
sob
dando
momento
acabara
principal
mamãe
